subject,fold,1,2,3,4,5,6,7,8,9,10,feature drop rate,heuristic quality,planning depth,elo
Age0Sub200_vs_Level110,1,2.4603,0.0046636,0.18673,0.050843,1.0798,0.97317,0.97143,-0.074827,3.2473,7.324,0.18673,0.4619828968110887,4.52816,80
Age0Sub200_vs_Level110,2,2.0775,0.118,0.040976,0.050007,0.81499,1.1058,1.2212,-0.065245,4.4208,9.9789,0.040976,0.5074621626427671,1.03316,80
Age0Sub200_vs_Level110,3,2.4175,0.0069208,0.10151,0.050023,0.70687,0.83712,1.3175,0.013694,4.7195,9.7493,0.10151,0.5544723509090667,4.39351,80
Age0Sub200_vs_Level110,4,1.9555,0.012392,0.19635,0.050636,0.70599,0.81665,1.0303,-0.0048828,3.2312,9.9487,0.19635,0.5123631525184704,3.1952,80
Age0Sub200_vs_Level110,5,2.7184,0.0014982,0.25012,0.050764,0.8071,0.91982,1.1946,0.11836,4.3617,9.9613,0.25012,0.5365936665647048,6.76226,80
Age0Sub200_vs_Level118,1,1.3019,0.014594,0.19723,0.075635,0.96231,0.7132,1.3479,0.039761,3.9628,9.9978,0.19723,0.5098811930418331,3.94949,-111
Age0Sub200_vs_Level118,2,1.6717,0.019502,0.2402,0.050002,0.99679,0.81631,1.1306,-0.11542,3.7931,7.0666,0.2402,0.4937050523588517,3.48356,-111
Age0Sub200_vs_Level118,3,1.2453,0.042678,0.14525,0.050063,0.70157,0.66338,1.2915,-0.039294,4.122,8.7593,0.14525,0.5518079467752085,2.86711,-111
Age0Sub200_vs_Level118,4,1.9989,0.019989,0.19995,0.05,1.2002,0.80078,1.001,0.40039,3.501,5.0,0.19995,0.48542674298094296,3.32333,-111
Age0Sub200_vs_Level118,5,1.561,0.021996,0.20255,0.050184,0.92166,0.92507,1.0523,-0.39389,3.4143,9.9657,0.20255,0.462504188116614,2.97897,-111
Age0Sub200_vs_Level92,1,1.5897,0.0020415,0.16011,0.052919,0.80788,0.65556,1.1921,-0.032808,3.6322,9.6082,0.16011,0.5294529443623134,6.93535,-133
Age0Sub200_vs_Level92,2,2.5497,0.022033,0.20215,0.053824,1.0959,0.81907,1.6622,-1.2615,4.0243,9.6542,0.20215,0.39321601610724344,2.70582,-133
Age0Sub200_vs_Level92,3,1.331,0.0042912,0.17974,0.07192,0.85604,0.73963,1.2917,-0.1418,3.7489,8.5315,0.17974,0.5069010181026273,6.13448,-133
Age0Sub200_vs_Level92,4,1.9383,0.011105,0.14348,0.052027,1.1057,0.70772,1.1239,0.13058,3.0822,6.9515,0.14348,0.4773100689756956,3.58127,-133
Age0Sub200_vs_Level92,5,2.2305,0.016692,0.20247,0.0503,1.1503,0.75855,0.99548,0.18101,3.4919,7.6661,0.20247,0.489568615162629,2.86994,-133
Age1Sub117_vs_Level110,1,3.2404,0.025337,0.041798,0.087804,1.071,0.78159,1.128,-0.12678,5.1805,9.3274,0.041798,0.5115634074777277,2.13887,102
Age1Sub117_vs_Level110,2,1.9699,0.019749,0.036328,0.050773,0.93619,0.42638,0.92649,-0.65159,4.8973,9.8803,0.036328,0.5059505687658434,2.93367,102
Age1Sub117_vs_Level110,3,2.5617,0.02309,0.051371,0.053827,0.96951,0.46182,1.1227,-0.37787,4.977,9.9317,0.051371,0.5203853490488399,2.52076,102
Age1Sub117_vs_Level110,4,2.3334,0.0018878,0.17424,0.058737,1.0438,0.44479,1.106,-0.72938,4.6288,8.8497,0.17424,0.47601754209884467,6.44891,102
Age1Sub117_vs_Level110,5,3.1764,0.0078505,0.10083,0.050896,1.204,0.76739,1.1239,-0.34276,5.5181,9.9973,0.10083,0.4840258800515653,3.73854,102
Age1Sub117_vs_Level118,1,3.7884,0.001,0.11302,0.063599,0.87738,0.11583,1.0315,-1.8443,4.9863,9.5859,0.11302,0.407732609839031,6.44283,-98
Age1Sub117_vs_Level118,2,2.5262,0.013517,0.038924,0.067351,0.87592,0.364,1.1507,-1.1781,5.7381,9.9949,0.038924,0.4831722300552377,3.48794,-98
Age1Sub117_vs_Level118,3,4.4337,0.010216,0.20452,0.060023,0.89603,0.46329,1.8376,-1.6075,9.1259,9.9417,0.20452,0.493611110457171,4.23645,-98
Age1Sub117_vs_Level118,4,3.9326,0.0046547,0.13628,0.050072,0.89963,0.16761,1.3448,-1.8202,6.9227,9.9919,0.13628,0.4510746960749155,5.00058,-98
Age1Sub117_vs_Level118,5,3.3612,0.0052113,0.17103,0.05,0.98811,0.094977,1.3007,-1.9384,5.9736,10.0,0.17103,0.4140011484508114,4.56277,-98
Age1Sub117_vs_Level92,1,1.9286,0.025241,0.03991,0.059344,0.72588,0.53831,0.99893,-0.8438,5.4486,9.996,0.03991,0.522756393567358,3.03293,-71
Age1Sub117_vs_Level92,2,2.5432,0.0084424,0.075736,0.053915,0.84352,0.26957,1.1228,-0.98087,5.7005,9.9293,0.075736,0.5032787403822293,4.19456,-71
Age1Sub117_vs_Level92,3,3.2935,0.01139,0.016866,0.052916,0.95278,0.62467,0.9069,-1.2528,6.6802,10.0,0.016866,0.4768274307703843,3.70155,-71
Age1Sub117_vs_Level92,4,2.4924,0.017489,0.23908,0.066525,0.98934,0.51395,0.95048,-0.93141,5.5423,9.7228,0.23908,0.482951959461846,3.1432,-71
Age1Sub117_vs_Level92,5,5.3394,0.003609,0.19561,0.05,0.98761,0.42382,1.3214,-1.9302,7.0389,9.9992,0.19561,0.4380533236430328,4.76877,-71
Age2Sub1099_vs_Level110,1,2.8386,0.002233,0.10091,0.076574,1.0338,0.49987,1.1222,1.1172,4.1396,9.31,0.10091,0.5514749629755111,5.89856,123
Age2Sub1099_vs_Level110,2,2.3188,0.0016533,0.13982,0.084918,0.90805,0.38539,1.0263,0.91382,4.2859,9.8788,0.13982,0.598365176158386,6.56394,123
Age2Sub1099_vs_Level110,3,4.2813,0.0040652,0.2091,0.050144,1.3517,0.66336,1.216,0.67446,3.9885,8.612,0.2091,0.46522838726570914,4.40646,123
Age2Sub1099_vs_Level110,4,3.1879,0.0022135,0.17289,0.08948,0.79376,0.19464,1.42,1.1017,4.7894,9.9874,0.17289,0.6257353100703335,5.48889,123
Age2Sub1099_vs_Level110,5,4.6978,0.0016344,0.2023,0.055155,1.1823,0.49957,1.0947,0.7896,5.0718,10.0,0.2023,0.5264394148679611,5.95305,123
Age2Sub1099_vs_Level118,1,6.1627,0.0015385,0.17143,0.063143,0.88933,0.58228,1.1926,0.69097,7.7381,10.0,0.17143,0.596543731077248,6.26509,-87
Age2Sub1099_vs_Level118,2,5.8601,0.0020017,0.29428,0.050336,1.3367,0.79865,1.2209,0.51741,5.5336,9.7531,0.29428,0.48562711446125273,5.56738,-87
Age2Sub1099_vs_Level118,3,5.8581,0.0010833,0.19895,0.06497,1.1932,0.85192,1.121,0.98067,6.3107,9.9999,0.19895,0.5227082726090932,6.87616,-87
Age2Sub1099_vs_Level118,4,8.732,0.0013143,0.23994,0.050225,1.1391,0.67205,1.5759,0.99391,7.3072,8.7481,0.23994,0.5367139015830515,6.17152,-87
Age2Sub1099_vs_Level118,5,9.5674,0.0018842,0.23147,0.051197,1.2448,0.91922,1.2088,0.33819,5.136,9.6469,0.23147,0.492198881976893,5.0402,-87
Age2Sub1099_vs_Level92,1,3.4353,0.0014775,0.14203,0.050404,0.98374,0.38324,1.1425,0.74502,3.8498,9.9311,0.14203,0.5634471434906301,6.26124,17
Age2Sub1099_vs_Level92,2,4.9629,0.0015168,0.09665,0.06529,1.2053,0.70418,0.99832,0.59259,3.8521,8.4724,0.09665,0.5012616445928841,5.76536,17
Age2Sub1099_vs_Level92,3,5.7936,0.0018774,0.15273,0.089318,1.3622,0.53259,1.2811,1.0749,5.0665,10.0,0.15273,0.4750241795895573,5.51733,17
Age2Sub1099_vs_Level92,4,3.1992,0.0042426,0.0084483,0.061066,0.98973,0.44654,1.0032,0.71276,3.7865,8.6326,0.0084483,0.5651174052062049,4.19279,17
Age2Sub1099_vs_Level92,5,5.1735,0.0016038,0.29074,0.052275,1.0547,0.88811,1.3677,1.0062,5.3172,9.3978,0.29074,0.538723703830027,6.04442,17
